make,carID,carID_and_Year,Chest_decel,L_Leg,R_Leg,D_P,Protection,Doors,Year,Wt,Size
Honda,Honda_Civic_Dx,Honda_Civic_Dx_88,38,816,184,Passenger,manual_belts,2,88,2077,lt
Honda,Honda_Prelude,Honda_Prelude_90,48,674,733,Passenger,passive_belts,2,90,2650,comp
Hyundai,Hyundai_Excel,Hyundai_Excel_87,46,1794,1006,Passenger,passive_belts,4,87,2200,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_87,43,345,775,Passenger,manual_belts,2,87,2180,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_90,39,1921,964,Passenger,Motorized_belts,2,90,2200,lt
Hyundai,Hyundai_Scoupe,Hyundai_Scoupe_91,42,966,333,Passenger,passive_belts,2,91,2201,lt
Hyundai,Hyundai_Sonata,Hyundai_Sonata_89,53,603,293,Passenger,manual_belts,4,89,2850,comp
Infiniti,Infiniti_M-30,Infiniti_M-30_90,45,1132,716,Passenger,d_airbag,2,90,3370,med
Isuzu,Isuzu_Amigo,Isuzu_Amigo_90,63,319,458,Passenger,manual_belts,2,90,2900,mpv
Isuzu,Isuzu_I-Mark,Isuzu_I-Mark_87,51,747,225,Passenger,manual_belts,4,87,2100,lt
Isuzu,Isuzu_Rodeo,Isuzu_Rodeo_91,71,469,420,Passenger,manual_belts,4,91,3450,mpv
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_87,58,279,480,Passenger,manual_belts,,87,2766,pu
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_88,55,412,172,Passenger,manual_belts,,88,3128,pu
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_89,59,804,262,Passenger,manual_belts,4,89,3685,mpv
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_90,64,430,141,Passenger,manual_belts,4,90,3684,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_89,43,1486,337,Passenger,manual_belts,4,89,3284,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_90,52,1277,692,Passenger,manual_belts,4,90,3270,mpv
Jeep,Jeep_Comanche,Jeep_Comanche_87,48,923,761,Passenger,manual_belts,,87,2907,pu
Jeep,Jeep_Wrangler_YJ_4x4,Jeep_Wrangler_YJ_4x4_87,40,758,783,Passenger,manual_belts,2,87,3120,mpv
Lexus,Lexus_ES250,Lexus_ES250_90,47,1689,1075,Passenger,d_airbag,4,90,3280,med
Lincoln,Lincoln_Continental,Lincoln_Continental_89,,1326,1090,Passenger,d&p_airbags,4,89,3710,hev
Mazda,Mazda_626,Mazda_626_87,46,1300,1255,Passenger,passive_belts,4,87,2590,comp
Mazda,Mazda_929,Mazda_929_88,49,774,450,Passenger,manual_belts,4,88,3470,med
Mazda,Mazda_Miata,Mazda_Miata_90,42,796,763,Passenger,d_airbag,2,90,2190,lt
Mazda,Mazda_Mpv,Mazda_Mpv_91,48,579,776,Passenger,manual_belts,,91,3730,van
Mazda,Mazda_Protege,Mazda_Protege_91,51,851,997,Passenger,Motorized_belts,4,91,2417,lt
Mazda,Mazda_RX-7,Mazda_RX-7_88,48,1135,650,Passenger,manual_belts,2,88,2630,comp
Mercedes,Mercedes_190E,Mercedes_190E_90,58,1028,331,Passenger,d_airbag,4,90,3058,med
Mercury,Mercury_Sable,Mercury_Sable_88,35,1512,913,Passenger,manual_belts,4,88,3200,med
Mercury,Mercury_Topaz,Mercury_Topaz_87,40,1277,455,Passenger,d_airbag,4,87,2725,comp
Mercury,Mercury_Tracer,Mercury_Tracer_89,38,733,581,Passenger,manual_belts,4,89,2280,lt
Mitsubishi,Mitsubishi_Eclipse,Mitsubishi_Eclipse_90,40,1033,413,Passenger,Motorized_belts,2,90,2594,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_89,40,1229,526,Passenger,manual_belts,4,89,2740,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_91,53,1395,1232,Passenger,Motorized_belts,4,91,2838,comp
Mitsubishi,Mitsubishi_Mirage,Mitsubishi_Mirage_89,42,1367,1078,Passenger,Motorized_belts,4,89,2370,lt
Mitsubishi,Mitsubishi_Montero_4x4,Mitsubishi_Montero_4x4_88,50,1001,302,Passenger,manual_belts,2,88,3298,mpv
Mitsubishi,Mitsubishi_Starion,Mitsubishi_Starion_87,46,1752,1323,Passenger,passive_belts,2,87,3020,med
Mitsubishi,Mitsubishi_Wagon,Mitsubishi_Wagon_89,51,1607,791,Passenger,manual_belts,,89,3441,van
Nissan,Nissan_240sx,Nissan_240sx_89,44,656,854,Passenger,Motorized_belts,2,89,2680,comp
Nissan,Nissan_200sx,Nissan_200sx_87,37,740,89,Passenger,manual_belts,2,87,2739,comp
Nissan,Nissan_Axxess,Nissan_Axxess_90,46,1266,1143,Passenger,passive_belts,,90,3037,van
Nissan,Nissan_Maxima,Nissan_Maxima_89,44,664,1043,Passenger,Motorized_belts,4,89,3160,med
Nissan,Nissan_Maxima_SE,Nissan_Maxima_SE_88,49,1500,1049,Passenger,passive_belts,4,88,3210,med
Nissan,Nissan_NL_Xev_Pickup,Nissan_NL_Xev_Pickup_88,53,609,198,Passenger,manual_belts,,88,2631,pu
Nissan,Nissan_Pickup,Nissan_Pickup_87,45,531,617,Passenger,manual_belts,,87,2714,pu
Nissan,Nissan_Pickup,Nissan_Pickup_89,35,,332,Passenger,manual_belts,,89,2670,pu
Nissan,Nissan_Pulsar_Nx,Nissan_Pulsar_Nx_88,31,122,1742,Passenger,manual_belts,2,88,2480,lt
Nissan,Nissan_Sentra,Nissan_Sentra_87,,615,415,Passenger,manual_belts,4,87,2296,lt
Nissan,Nissan_Sentra,Nissan_Sentra_88,42,686,853,Passenger,manual_belts,4,88,2328,lt
Nissan,Nissan_Sentra,Nissan_Sentra_91,45,1210,,Passenger,Motorized_belts,2,91,2420,lt
Nissan,Nissan_Stanza,Nissan_Stanza_90,47,1205,744,Passenger,Motorized_belts,4,90,2790,comp
Nissan,Nissan_Van_Xe,Nissan_Van_Xe_88,36,1708,1331,Passenger,manual_belts,,88,3560,van
Oldsmobile,Oldsmobile_Calais,Oldsmobile_Calais_87,40,1737,555,Passenger,passive_belts,4,87,2650,comp
Oldsmobile,Oldsmobile_Delta_88,Oldsmobile_Delta_88_88,38,2119,593,Passenger,d_airbag,4,88,3460,med
Peugeot,Peugeot_505S,Peugeot_505S_89,77,839,554,Passenger,Motorized_belts,4,89,3010,med
Peugeot,Peugeot_505,Peugeot_505_87,50,546,176,Passenger,manual_belts,4,87,2900,comp
Peugeot,Peugeot_505_GLS,Peugeot_505_GLS_88,45,930,328,Passenger,passive_belts,4,88,3070,med
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_89,50,1552,873,Passenger,manual_belts,4,89,2820,comp
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_91,43,891,1117,Passenger,d_airbag,4,91,2860,comp
Plymouth,Plymouth_Voyager,Plymouth_Voyager_87,47,1595,275,Passenger,manual_belts,,87,3040,van
Pontiac,Pontiac_Grand_Am,Pontiac_Grand_Am_87,41,1848,529,Passenger,passive_belts,2,87,2530,comp
Pontiac,Pontiac_Le_Mans,Pontiac_Le_Mans_88,44,792,389,Passenger,manual_belts,2,88,2200,lt
Pontiac,Pontiac_Sunbird,Pontiac_Sunbird_87,37,1079,211,Passenger,manual_belts,4,87,2415,lt
Pontiac,Pontiac_Trans_Sport,Pontiac_Trans_Sport_90,37,253,287,Passenger,manual_belts,,90,3740,van
Renault,Renault_Medallion,Renault_Medallion_88,38,617,1193,Passenger,manual_belts,4,88,2660,comp
Saab,Saab_900S,Saab_900S_88,35,1395,1535,Passenger,passive_belts,2,88,2840,comp
Saab,Saab_9000,Saab_9000_87,35,346,638,Passenger,manual_belts,4,87,2990,comp
Saturn,Saturn_SL2,Saturn_SL2_91,46,1326,974,Passenger,Motorized_belts,4,91,2453,lt
Subaru,Subaru_GL,Subaru_GL_87,44,694,309,Passenger,manual_belts,4,87,2254,lt
Subaru,Subaru_Justy_DL,Subaru_Justy_DL_87,38,1256,426,Passenger,manual_belts,2,87,1660,mini
Subaru,Subaru_Legacy,Subaru_Legacy_90,44,1899,1121,Passenger,Motorized_belts,4,90,2640,comp
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_89,70,1860,2259,Passenger,manual_belts,2,89,2311,mpv
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_91,55,1283,1252,Passenger,manual_belts,2,91,2643,mpv
Toyota,Toyota_4-Runner_4x4,Toyota_4-Runner_4x4_90,47,1429,320,Passenger,manual_belts,4,90,3860,mpv
Toyota,Toyota_Camry,Toyota_Camry_87,46,1200,1167,Passenger,passive_belts,4,87,2780,comp
Toyota,Toyota_Celica,Toyota_Celica_90,37,1190,609,Passenger,d_airbag,2,90,2460,lt
Toyota,Toyota_Corolla_Fx,Toyota_Corolla_Fx_88,40,1162,393,Passenger,manual_belts,2,88,2320,lt
Toyota,Toyota_Corolla,Toyota_Corolla_89,45,894,681,Passenger,manual_belts,4,89,2370,lt
Toyota,Toyota_Corolla,Toyota_Corolla_91,,917,1469,Passenger,passive_belts,4,91,2405,lt
Toyota,Toyota_Cressida,Toyota_Cressida_89,51,1554,1107,Passenger,Motorized_belts,4,89,3450,med
Toyota,Toyota_Pickup,Toyota_Pickup_87,39,500,532,Passenger,manual_belts,,87,2508,pu
Toyota,Toyota_Pickup,Toyota_Pickup_89,46,614,493,Passenger,manual_belts,,89,2543,pu
Toyota,Toyota_Pickup_4x4,Toyota_Pickup_4x4_91,50,,781,Passenger,manual_belts,,91,3284,pu
Toyota,Toyota_Previa,Toyota_Previa_91,47,322,560,Passenger,manual_belts,,91,3642,van
Toyota,Toyota_Tercel,Toyota_Tercel_88,42,572,261,Passenger,manual_belts,2,88,2100,lt
Toyota,Toyota_Tercel,Toyota_Tercel_91,51,1325,949,Passenger,passive_belts,4,91,2120,lt
Toyota,Toyota_Van,Toyota_Van_89,54,2741,847,Passenger,manual_belts,,89,3277,van
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_87,52,723,450,Passenger,manual_belts,2,87,2140,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_88,44,,478,Passenger,manual_belts,2,88,2200,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_89,58,738,508,Passenger,manual_belts,2,89,2150,lt
Volkswagen,Volkswagen_Passat,Volkswagen_Passat_90,46,1154,2474,Passenger,Motorized_belts,4,90,2990,comp
Volkswagen,Volkswagen_Vanagon_GL,Volkswagen_Vanagon_GL_88,48,1963,1014,Passenger,manual_belts,,88,3520,van
Volvo,Volvo_740_GLE,Volvo_740_GLE_88,42,1793,634,Passenger,d_airbag,4,88,3010,med
Yugo,Yugo_GV,Yugo_GV_87,41,585,172,Passenger,manual_belts,2,87,1850,mini
